corpus,condition,lag_s,p25,p50,p75,n_sessions
Mouse-Dyad-10M,near,-4.197112386677966,0.48578043269283194,1.2988119484595488,1.5920416609906094,35
Mouse-Dyad-10M,near,-4.190450303524509,0.48578043269283194,1.3000231562266402,1.5948452169774798,35
Mouse-Dyad-10M,near,-4.183788220371052,0.48578043269283194,1.3118416928217864,1.5980337591040352,35
Mouse-Dyad-10M,near,-4.177126137217595,0.48578043269283194,1.302070194782105,1.5980337591040352,35
Mouse-Dyad-10M,near,-4.170464054064138,0.48863860807197734,1.3447601969950946,1.5951063676403257,35
Mouse-Dyad-10M,near,-4.16380197091068,0.4888814768526065,1.3449578527711241,1.594925046074073,35
Mouse-Dyad-10M,near,-4.157139887757223,0.4888814768526065,1.336576267417409,1.594925046074073,35
Mouse-Dyad-10M,near,-4.150477804603766,0.4888814768526065,1.3141007903506394,1.5381374150128073,35
Mouse-Dyad-10M,near,-4.143815721450309,0.5416625390737039,1.3020686160618484,1.5381374150128073,35
Mouse-Dyad-10M,near,-4.137153638296852,0.5416625390737039,1.3018722232620252,1.5799102704253047,35
Mouse-Dyad-10M,near,-4.130491555143395,0.5416625390737039,1.3018722232620252,1.5803043986716614,35
Mouse-Dyad-10M,near,-4.1238294719899375,0.5416625390737039,1.3018722232620252,1.5803043986716614,35
Mouse-Dyad-10M,near,-4.117167388836481,0.5416625390737039,1.2652572893345064,1.554683189584902,35
Mouse-Dyad-10M,near,-4.110505305683024,0.5416625390737039,1.2652572893345064,1.554683189584902,35
Mouse-Dyad-10M,near,-4.103843222529567,0.5416625390737039,1.3118416928217864,1.554683189584902,35
Mouse-Dyad-10M,near,-4.09718113937611,0.5416625390737039,1.3001639523188022,1.554683189584902,35
Mouse-Dyad-10M,near,-4.090519056222653,0.5416625390737039,1.2589951935926478,1.5854407558848198,35
Mouse-Dyad-10M,near,-4.083856973069196,0.5416625390737039,1.2587865937529261,1.5550722404947557,35
Mouse-Dyad-10M,near,-4.077194889915738,0.5416625390737039,1.2587865937529261,1.554683189584902,35
Mouse-Dyad-10M,near,-4.070532806762281,0.5862219768704175,1.2587865937529261,1.554683189584902,35
Mouse-Dyad-10M,near,-4.063870723608824,0.5864590261115702,1.2991902361694478,1.554683189584902,35
Mouse-Dyad-10M,near,-4.057208640455367,0.5864590261115702,1.2996751070683057,1.4915593303963883,35
Mouse-Dyad-10M,near,-4.05054655730191,0.5864590261115702,1.2996751070683057,1.4911728181547987,35
Mouse-Dyad-10M,near,-4.043884474148453,0.5864590261115702,1.2371392665190768,1.5502165490110817,35
Mouse-Dyad-10M,near,-4.037222390994995,0.5864590261115702,1.2996751070683057,1.5799538061935237,35
Mouse-Dyad-10M,near,-4.030560307841538,0.5864590261115702,1.2996751070683057,1.5804951765101762,35
Mouse-Dyad-10M,near,-4.0238982246880814,0.5864590261115702,1.3138414740784825,1.5290780727761506,35
Mouse-Dyad-10M,near,-4.0172361415346245,0.5864590261115702,1.3138414740784825,1.685455789333322,35
Mouse-Dyad-10M,near,-4.0105740583811675,0.5864590261115702,1.3138414740784825,1.685970006684975,35
Mouse-Dyad-10M,near,-4.003911975227711,0.5864590261115702,1.3138414740784825,1.685854371840125,35
Mouse-Dyad-10M,near,-3.997249892074253,0.5864590261115702,1.3138414740784825,1.6883565497419761,35
Mouse-Dyad-10M,near,-3.9905878089207962,0.5864590261115702,1.2785866996077404,1.781844621444429,35
Mouse-Dyad-10M,near,-3.9839257257673393,0.5864590261115702,1.301683408319428,1.781844621444429,35
Mouse-Dyad-10M,near,-3.977263642613882,0.5864590261115702,1.34476935357258,1.7660190525783375,35
Mouse-Dyad-10M,near,-3.970601559460425,0.5864590261115702,1.3449578527711241,1.7658150401920278,35
Mouse-Dyad-10M,near,-3.963939476306968,0.5864590261115702,1.3449578527711241,1.7658150401920278,35
Mouse-Dyad-10M,near,-3.9572773931535106,0.5418929928367868,1.3050791180072132,1.7499884461380657,35
Mouse-Dyad-10M,near,-3.9506153100000536,0.5416625390737039,1.3050791180072132,1.7532514357187325,35
